ATOM    ground  excited
MG	1.061	1.044
CHA	0.338	0.28
CHB	-0.425	-0.481
HHB	0.147	0.149
CHC	-0.63	-0.713
HHC	0.25	0.253
CHD	-0.55	-0.612
HHD	0.202	0.203
NA	-0.406	-0.465
C1A	-0.122	-0.068
C2A	0.269	0.316
H2A	0.074	0.084
C3A	0.007	0.006
H3A	0.181	0.186
C4A	0.001	-0.001
CMA	-0.426	-0.417
HMA1	0.11	0.109
HMA2	0.11	0.109
HMA3	0.11	0.109
CAA	0.266	0.269
HAA1	-0.051	-0.052
HAA2	-0.051	-0.052
CBA	-0.343	-0.339
HBA1	0.057	0.056
HBA2	0.057	0.056
CGA	0.774	0.774
O1A	-0.535	-0.535
O2A	-0.33	-0.331
NB	-0.61	-0.621
C1B	0.205	0.244
C2B	0.536	0.612
C3B	0.272	0.238
C4B	-0.549	-0.584
CMB	-0.493	-0.486
HMB1	0.142	0.14
HMB2	0.142	0.14
HMB3	0.142	0.14
CAB	0.816	0.81
OBB	-0.544	-0.552
CBB	-0.614	-0.62
HBB1	0.162	0.163
HBB2	0.162	0.163
HBB3	0.162	0.163
NC	-0.553	-0.617
C1C	0.365	0.42
C2C	0.438	0.521
H2C	0.262	0.267
C3C	0.003	0.002
H3C	-0.394	-0.389
C4C	0.124	0.124
CMC	-0.412	-0.402
HMC1	0.107	0.105
HMC2	0.107	0.105
HMC3	0.107	0.105
CAC	0.21	0.218
HAC1	-0.013	-0.014
HAC2	-0.013	-0.014
CBC	-0.306	-0.311
HBC1	0.078	0.079
HBC2	0.078	0.079
HBC3	0.078	0.079
ND	-0.513	-0.539
C1D	0.298	0.383
C2D	0.005	0.084
C3D	0.19	0.174
C4D	-0.294	-0.304
CMD	-0.49	-0.483
HMD1	0.145	0.144
HMD2	0.145	0.144
HMD3	0.145	0.144
CAD	0.743	0.73
OBD	-0.489	-0.495
CBD	-0.859	-0.859
HBD1	0.27	0.27
CGD	0.829	0.831
O1D	-0.523	-0.523
O2D	-0.277	-0.279
CED	-0.266	-0.265
HED1	0.142	0.142
HED2	0.142	0.142
HED3	0.142	0.142
C1	-0.187	-0.187
H1	0.18	0.18
H2	0.18	0.18

