noise_scale,circuit_type,estimated_cost,baseline_cost,optimal_cost,cost_gap,normalized_accuracy,retained_accuracy
0.0,standard,-0.2610008362698061,-0.2610008362698061,-1.2,0.9389991637301939,0.5157299800357971,1.0
0.0,biological,0.5353873662313565,0.5353873662313565,-1.2,1.7353873662313566,0.365578934941758,1.0
1.0,standard,-0.24183820695947147,-0.2610008362698061,-1.2,0.9581617930405285,0.5106830311744842,0.9795924958716569
1.0,biological,0.515376451109131,0.5353873662313565,-1.2,1.715376451109131,0.3682730619511475,0.9884689058410733
2.0,standard,-0.22328786405737777,-0.2610008362698061,-1.2,0.9767121359426222,0.5058905552391605,0.959837054526638
2.0,biological,0.4963112393727565,0.5353873662313565,-1.2,1.6963112393727564,0.37087706545058585,0.9774827640105163
4.0,standard,-0.18792421546690793,-0.2610008362698061,-1.2,1.012075784533092,0.4969991725396431,0.9221760533709106
4.0,biological,0.46100053023051013,0.5353873662313565,-1.2,1.6610005302305102,0.3757984970838674,0.9571353131592815
8.0,standard,-0.12350378785632232,-0.2610008362698061,-1.2,1.0764962121436776,0.48158045950281164,0.8535706380533143
8.0,biological,0.40126450094125815,0.5353873662313565,-1.2,1.601264500941258,0.38442841919310927,0.9227130104206269
16.0,standard,-0.015513555268158194,-0.2610008362698061,-1.2,1.1844864447318417,0.45777349747883456,0.7385649631183435
16.0,biological,0.32005977990826917,0.5353873662313565,-1.2,1.5200597799082691,0.3968159834828998,0.8759195840000251
